,,Overall,,Survey Group,,,,Age Group,,,,,,,,,,Grade Level,,,,,,Gender,,,,LGBTQ Identification (Gen Z adults),,,,Race/Ethnicity,,,,,,,,,,Highest Educational Attainment,,,,,,,,,,Highest educational attainment or enrollment,,Parent Educational Attainment,,,,Eligibility for free or reduced-price lunch,,,,Subjective Income (Parent + Child),,,,,,Subjective Income (Gen Z adults),,,,,,Disability Status (Gen Z children),,,,Political Party Identification (Gen Z adults),,,,,,,,Religious Affiliation (Gen Z adults),,,,Census Region,,,,,,,
,Disagree,14%,271,14%,271,0%,0,13%,141,15%,130,0%,0,0%,0,0%,0,14%,82,14%,189,0%,0,13%,119,14%,144,0%,0,0%,0,6%,8,12%,33,14%,59,13%,19,16%,149,14%,271,0%,0,0%,0,0%,0,0%,0,14%,271,14%,202,14%,59,12%,100,17%,156,11%,120,15%,102,18%,49,0%,0,0%,0,0%,0,22%,49,13%,221,12%,9,22%,9,10%,3,18%,7,17%,20,16%,9,15%,41,11%,50,14%,112,15%,68
,Strongly disagree,3%,59,3%,59,0%,0,3%,31,4%,28,0%,0,0%,0,0%,0,5%,21,3%,38,0%,0,3%,23,3%,31,0%,0,0%,0,1%,1,2%,5,4%,13,5%,5,4%,35,3%,59,0%,0,0%,0,0%,0,0%,0,3%,59,3%,40,4%,14,4%,28,3%,27,3%,29,3%,17,6%,13,0%,0,0%,0,0%,0,9%,15,3%,44,0%,0,0%,0,0%,0,4%,3,1%,1,3%,2,2%,4,4%,18,3%,21,4%,16
,Total,100%,1681,100%,1681,0%,0,100%,919,100%,762,0%,0,0%,0,0%,0,100%,520,100%,1161,0%,0,100%,787,100%,854,0%,0,0%,0,100%,89,100%,205,100%,352,100%,116,100%,900,100%,1681,0%,0,0%,0,0%,0,0%,0,100%,1681,100%,1275,100%,350,100%,651,100%,899,100%,839,100%,611,100%,224,0%,0,0%,0,0%,0,100%,186,100%,1491,100%,44,100%,38,100%,31,100%,41,100%,102,100%,53,100%,254,100%,379,100%,675,100%,372
My teachers make me feel my schoolwork is important.,Strongly agree,21%,337,21%,337,0%,0,21%,193,20%,144,0%,0,0%,0,0%,0,24%,112,20%,225,0%,0,21%,160,21%,169,0%,0,0%,0,27%,21,23%,46,22%,76,28%,25,18%,165,21%,337,0%,0,0%,0,0%,0,0%,0,21%,337,22%,265,19%,66,23%,131,18%,177,23%,179,18%,111,23%,46,0%,0,0%,0,0%,0,16%,31,22%,305,20%,6,21%,7,22%,5,2%,1,21%,17,7%,4,13%,44,22%,81,24%,152,20%,60
,Agree,44%,738,44%,738,0%,0,45%,412,43%,326,0%,0,0%,0,0%,0,42%,225,45%,513,0%,0,46%,351,43%,372,0%,0,0%,0,44%,45,51%,98,39%,138,41%,52,45%,395,44%,738,0%,0,0%,0,0%,0,0%,0,44%,738,42%,548,47%,160,44%,294,43%,388,46%,379,45%,272,37%,85,0%,0,0%,0,0%,0,40%,67,45%,670,46%,22,43%,15,53%,15,62%,26,48%,48,55%,29,54%,129,46%,170,44%,287,37%,151
,Neither agree nor disagree,24%,394,24%,394,0%,0,23%,203,25%,191,0%,0,0%,0,0%,0,23%,115,24%,279,0%,0,21%,182,26%,202,0%,0,0%,0,24%,18,19%,42,26%,90,22%,24,24%,217,24%,394,0%,0,0%,0,0%,0,0%,0,24%,394,25%,305,23%,79,21%,140,27%,220,20%,172,27%,161,25%,58,0%,0,0%,0,0%,0,26%,54,23%,338,27%,10,27%,13,18%,8,32%,11,25%,27,30%,15,22%,52,22%,82,21%,155,30%,105
,Disagree,9%,158,9%,158,0%,0,8%,85,9%,73,0%,0,0%,0,0%,0,9%,51,9%,107,0%,0,10%,73,8%,82,0%,0,0%,0,3%,3,6%,14,10%,34,6%,10,10%,95,9%,158,0%,0,0%,0,0%,0,0%,0,9%,158,8%,114,8%,34,8%,59,10%,88,9%,83,8%,50,10%,25,0%,0,0%,0,0%,0,11%,22,8%,136,5%,4,6%,2,6%,2,3%,2,4%,6,6%,4,9%,25,8%,34,8%,55,11%,44
,Strongly disagree,3%,55,3%,55,0%,0,3%,27,3%,28,0%,0,0%,0,0%,0,3%,18,2%,37,0%,0,2%,20,3%,31,0%,0,0%,0,1%,2,2%,5,3%,14,2%,5,3%,29,3%,55,0%,0,0%,0,0%,0,0%,0,3%,55,3%,43,3%,11,3%,27,2%,27,2%,27,2%,17,4%,10,0%,0,0%,0,0%,0,7%,13,2%,42,2%,2,2%,1,2%,1,1%,1,2%,4,1%,1,2%,5,3%,12,3%,27,2%,11
,Total,100%,1682,100%,1682,0%,0,100%,920,100%,762,0%,0,0%,0,0%,0,100%,521,100%,1161,0%,0,100%,786,100%,856,0%,0,0%,0,100%,89,100%,205,100%,352,100%,116,100%,901,100%,1682,0%,0,0%,0,0%,0,0%,0,100%,1682,100%,1275,100%,350,100%,651,100%,900,100%,840,100%,611,100%,224,0%,0,0%,0,0%,0,100%,187,100%,1491,100%,44,100%,38,100%,31,100%,41,100%,102,100%,53,100%,255,100%,379,100%,676,100%,371
"In the last seven days, someone has told me I have done good work at school.",Strongly agree,29%,472,29%,472,0%,0,30%,266,28%,206,0%,0,0%,0,0%,0,32%,161,28%,311,0%,0,33%,243,26%,215,0%,0,0%,0,32%,21,30%,61,34%,107,44%,44,24%,233,29%,472,0%,0,0%,0,0%,0,0%,0,29%,472,30%,368,28%,93,32%,180,25%,247,29%,238,27%,168,32%,64,0%,0,0%,0,0%,0,21%,44,30%,427,40%,12,19%,8,37%,11,19%,7,39%,33,8%,6,30%,81,29%,108,31%,202,24%,81
,Agree,47%,784,47%,784,0%,0,47%,451,46%,333,0%,0,0%,0,0%,0,45%,252,47%,532,0%,0,41%,344,51%,424,0%,0,0%,0,51%,50,43%,90,44%,156,38%,48,50%,434,47%,784,0%,0,0%,0,0%,0,0%,0,47%,784,47%,598,46%,160,46%,313,49%,420,48%,396,45%,276,44%,109,0%,0,0%,0,0%,0,55%,94,45%,689,34%,20,54%,18,44%,12,55%,24,43%,44,54%,30,48%,124,44%,165,46%,314,49%,180
,Neither agree nor disagree,11%,199,11%,199,0%,0,10%,93,12%,106,0%,0,0%,0,0%,0,10%,49,11%,150,0%,0,11%,87,11%,107,0%,0,0%,0,7%,7,9%,18,10%,44,8%,11,12%,114,11%,199,0%,0,0%,0,0%,0,0%,0,11%,199,10%,145,12%,45,9%,70,11%,105,11%,102,11%,76,9%,19,0%,0,0%,0,0%,0,8%,18,11%,181,13%,5,6%,4,16%,5,7%,2,7%,10,16%,6,12%,27,13%,52,10%,69,11%,51
,Disagree,10%,163,10%,163,0%,0,10%,78,10%,85,0%,0,0%,0,0%,0,8%,39,11%,124,0%,0,11%,83,9%,79,0%,0,0%,0,8%,11,15%,27,8%,26,8%,11,10%,87,10%,163,0%,0,0%,0,0%,0,0%,0,10%,163,9%,115,11%,42,9%,60,12%,95,7%,70,12%,67,12%,26,0%,0,0%,0,0%,0,8%,19,10%,142,14%,7,16%,7,4%,3,8%,4,7%,12,17%,9,7%,16,11%,40,10%,62,12%,45
,Strongly disagree,4%,61,4%,61,0%,0,4%,31,4%,30,0%,0,0%,0,0%,0,4%,19,4%,42,0%,0,4%,30,4%,28,0%,0,0%,0,1%,1,4%,9,5%,17,2%,2,4%,32,4%,61,0%,0,0%,0,0%,0,0%,0,4%,61,4%,47,3%,9,5%,28,3%,30,4%,32,4%,23,3%,6,0%,0,0%,0,0%,0,7%,11,3%,50,0%,0,4%,1,0%,0,10%,4,4%,3,5%,2,3%,7,4%,14,4%,26,4%,14
,Total,100%,1679,100%,1679,0%,0,100%,919,100%,760,0%,0,0%,0,0%,0,100%,520,100%,1159,0%,0,100%,787,100%,853,0%,0,0%,0,100%,90,100%,205,100%,350,100%,116,100%,900,100%,1679,0%,0,0%,0,0%,0,0%,0,100%,1679,100%,1273,100%,349,100%,651,100%,897,100%,838,100%,610,100%,224,0%,0,0%,0,0%,0,100%,186,100%,1489,100%,44,100%,38,100%,31,100%,41,100%,102,100%,53,100%,255,100%,379,100%,673,100%,371
"In the last seven days, I have learned something interesting at school.",Strongly agree,20%,303,20%,303,0%,0,20%,170,20%,133,0%,0,0%,0,0%,0,20%,97,20%,206,0%,0,21%,150,19%,145,0%,0,0%,0,14%,11,25%,50,25%,75,30%,23,16%,141,20%,303,0%,0,0%,0,0%,0,0%,0,20%,303,19%,225,21%,66,24%,132,16%,143,20%,150,19%,112,21%,39,0%,0,0%,0,0%,0,17%,28,20%,275,35%,9,24%,9,27%,5,6%,4,28%,23,11%,5,23%,57,17%,63,23%,134,16%,49
,Agree,46%,776,46%,776,0%,0,49%,461,43%,315,0%,0,0%,0,0%,0,47%,256,45%,520,0%,0,48%,372,44%,390,0%,0,0%,0,60%,53,41%,87,41%,153,44%,56,47%,417,46%,776,0%,0,0%,0,0%,0,0%,0,46%,776,47%,601,44%,150,44%,294,48%,426,47%,393,46%,285,42%,96,0%,0,0%,0,0%,0,56%,92,45%,682,46%,25,45%,11,51%,13,36%,12,37%,33,55%,28,47%,118,47%,176,44%,299,48%,182
,Neither agree nor disagree,20%,320,20%,320,0%,0,19%,153,21%,167,0%,0,0%,0,0%,0,19%,79,20%,241,0%,0,16%,137,23%,176,0%,0,0%,0,18%,15,25%,42,18%,57,14%,20,20%,183,20%,320,0%,0,0%,0,0%,0,0%,0,20%,320,20%,242,21%,71,19%,121,21%,172,19%,159,20%,113,22%,47,0%,0,0%,0,0%,0,13%,30,20%,288,12%,6,17%,11,10%,6,32%,14,21%,25,14%,11,19%,45,20%,73,19%,126,22%,76
,Disagree,12%,222,12%,222,0%,0,10%,108,14%,114,0%,0,0%,0,0%,0,10%,67,12%,155,0%,0,12%,103,12%,111,0%,0,0%,0,6%,8,7%,18,12%,50,10%,14,14%,130,12%,222,0%,0,0%,0,0%,0,0%,0,12%,222,11%,158,14%,55,11%,84,13%,122,11%,103,13%,82,12%,36,0%,0,0%,0,0%,0,9%,25,12%,197,4%,2,15%,7,10%,6,20%,7,11%,16,18%,7,10%,28,14%,58,12%,88,10%,48
,Strongly disagree,3%,55,3%,55,0%,0,3%,28,3%,27,0%,0,0%,0,0%,0,4%,22,2%,33,0%,0,3%,22,3%,31,0%,0,0%,0,2%,3,2%,6,4%,16,3%,3,2%,27,3%,55,0%,0,0%,0,0%,0,0%,0,3%,55,3%,45,1%,7,2%,19,3%,32,3%,30,3%,18,3%,6,0%,0,0%,0,0%,0,4%,10,2%,45,3%,2,0%,0,2%,1,5%,3,3%,5,2%,1,1%,6,3%,9,2%,25,4%,15
,Total,100%,1676,100%,1676,0%,0,100%,920,100%,756,0%,0,0%,0,0%,0,100%,521,100%,1155,0%,0,100%,784,100%,853,0%,0,0%,0,100%,90,100%,203,100%,351,100%,116,100%,898,100%,1676,0%,0,0%,0,0%,0,0%,0,100%,1676,100%,1271,100%,349,100%,650,100%,895,100%,835,100%,610,100%,224,0%,0,0%,0,0%,0,100%,185,100%,1487,100%,44,100%,38,100%,31,100%,40,100%,102,100%,52,100%,254,100%,379,100%,672,100%,370
I have at least one teacher who makes me excited about the future.,Strongly agree,33%,562,33%,562,0%,0,34%,308,32%,254,0%,0,0%,0,0%,0,35%,175,32%,387,0%,0,35%,289,31%,263,0%,0,0%,0,29%,26,40%,79,35%,123,41%,41,29%,285,33%,562,0%,0,0%,0,0%,0,0%,0,33%,562,36%,453,28%,98,34%,210,33%,322,35%,299,30%,192,33%,69,0%,0,0%,0,0%,0,24%,44,34%,517,37%,15,32%,14,29%,8,29%,13,35%,34,26%,17,36%,97,30%,121,35%,233,29%,111
,Agree,45%,725,45%,725,0%,0,43%,382,48%,343,0%,0,0%,0,0%,0,41%,214,47%,511,0%,0,45%,323,45%,378,0%,0,0%,0,57%,46,39%,75,44%,153,39%,46,47%,396,45%,725,0%,0,0%,0,0%,0,0%,0,45%,725,44%,533,47%,163,46%,290,45%,377,44%,354,46%,267,46%,99,0%,0,0%,0,0%,0,55%,96,44%,627,55%,25,57%,19,64%,20,54%,18,54%,52,62%,30,45%,104,48%,167,45%,296,45%,157
,Neither agree nor disagree,14%,244,14%,244,0%,0,15%,136,14%,108,0%,0,0%,0,0%,0,13%,70,15%,174,0%,0,14%,115,15%,125,0%,0,0%,0,10%,11,12%,30,13%,44,13%,20,16%,137,14%,244,0%,0,0%,0,0%,0,0%,0,14%,244,13%,178,18%,58,13%,95,14%,119,14%,110,16%,103,12%,31,0%,0,0%,0,0%,0,12%,24,15%,219,6%,3,5%,2,5%,2,11%,5,6%,9,8%,3,13%,38,12%,48,13%,89,20%,69
,Disagree,5%,110,5%,110,0%,0,6%,66,5%,44,0%,0,0%,0,0%,0,6%,41,5%,69,0%,0,4%,40,7%,70,0%,0,0%,0,2%,3,7%,15,4%,21,4%,6,6%,65,5%,110,0%,0,0%,0,0%,0,0%,0,5%,110,5%,82,6%,23,4%,34,7%,65,5%,56,6%,37,6%,17,0%,0,0%,0,0%,0,6%,14,5%,96,0%,0,5%,3,2%,1,4%,3,3%,5,3%,2,4%,11,8%,33,5%,41,4%,25
,Strongly disagree,2%,36,2%,36,0%,0,3%,25,1%,11,0%,0,0%,0,0%,0,4%,20,1%,16,0%,0,3%,16,1%,18,0%,0,0%,0,2%,3,2%,4,3%,10,3%,3,2%,16,2%,36,0%,0,0%,0,0%,0,0%,0,2%,36,2%,26,2%,8,3%,20,1%,14,2%,16,2%,12,3%,8,0%,0,0%,0,0%,0,4%,9,2%,27,1%,1,0%,0,0%,0,2%,1,1%,2,0%,0,1%,3,3%,9,2%,15,2%,9
,Total,100%,1677,100%,1677,0%,0,100%,917,100%,760,0%,0,0%,0,0%,0,100%,520,100%,1157,0%,0,100%,783,100%,854,0%,0,0%,0,100%,89,100%,203,100%,351,100%,116,100%,899,100%,1677,0%,0,0%,0,0%,0,0%,0,100%,1677,100%,1272,100%,350,100%,649,100%,897,100%,835,100%,611,100%,224,0%,0,0%,0,0%,0,100%,187,100%,1486,100%,44,100%,38,100%,31,100%,40,100%,102,100%,52,100%,253,100%,378,100%,674,100%,371
I feel motivated to get good grades.,Strongly agree,32%,541,32%,541,0%,0,32%,296,32%,245,0%,0,0%,0,0%,0,32%,160,32%,381,0%,0,40%,307,26%,226,0%,0,0%,0,33%,29,35%,75,33%,116,52%,49,28%,268,32%,541,0%,0,0%,0,0%,0,0%,0,32%,541,36%,448,26%,84,30%,180,34%,321,36%,301,29%,181,29%,56,0%,0,0%,0,0%,0,16%,34,35%,506,40%,15,31%,15,39%,10,24%,8,43%,39,13%,10,29%,83,29%,111,36%,236,30%,111
,Agree,43%,708,43%,708,0%,0,45%,404,40%,304,0%,0,0%,0,0%,0,44%,229,43%,479,0%,0,41%,322,45%,370,0%,0,0%,0,50%,46,47%,91,45%,149,27%,38,42%,374,43%,708,0%,0,0%,0,0%,0,0%,0,43%,708,42%,526,45%,156,42%,278,44%,375,44%,361,43%,258,38%,86,0%,0,0%,0,0%,0,51%,82,42%,624,44%,22,43%,12,53%,17,39%,18,35%,39,59%,29,48%,118,41%,153,42%,285,44%,151
,Neither agree nor disagree,18%,293,18%,293,0%,0,17%,158,18%,135,0%,0,0%,0,0%,0,19%,97,17%,196,0%,0,14%,110,20%,172,0%,0,0%,0,12%,14,13%,26,15%,60,17%,22,21%,167,18%,293,0%,0,0%,0,0%,0,0%,0,18%,293,16%,208,20%,74,20%,134,15%,132,14%,113,21%,127,20%,52,0%,0,0%,0,0%,0,25%,53,17%,239,16%,6,12%,4,7%,4,33%,12,17%,16,21%,10,17%,39,20%,68,16%,109,19%,77
,Disagree,5%,94,5%,94,0%,0,4%,38,7%,56,0%,0,0%,0,0%,0,4%,21,6%,73,0%,0,4%,32,6%,59,0%,0,0%,0,5%,1,3%,7,4%,18,3%,4,7%,64,5%,94,0%,0,0%,0,0%,0,0%,0,5%,94,5%,63,6%,23,5%,38,6%,49,4%,41,6%,31,9%,22,0%,0,0%,0,0%,0,4%,12,5%,82,1%,1,13%,7,0%,0,4%,3,5%,8,7%,4,5%,12,7%,31,4%,29,5%,22
,Strongly disagree,2%,40,2%,40,0%,0,2%,21,2%,19,0%,0,0%,0,0%,0,2%,13,2%,27,0%,0,1%,13,3%,26,0%,0,0%,0,0%,0,2%,5,1%,7,1%,2,3%,26,2%,40,0%,0,0%,0,0%,0,0%,0,2%,40,2%,27,3%,11,3%,17,2%,21,2%,20,1%,12,4%,8,0%,0,0%,0,0%,0,4%,6,2%,34,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,1%,2,4%,15,2%,15,1%,8
,Total,100%,1676,100%,1676,0%,0,100%,917,100%,759,0%,0,0%,0,0%,0,100%,520,100%,1156,0%,0,100%,784,100%,853,0%,0,0%,0,100%,90,100%,204,100%,350,100%,115,100%,899,100%,1676,0%,0,0%,0,0%,0,0%,0,100%,1676,100%,1272,100%,348,100%,647,100%,898,100%,836,100%,609,100%,224,0%,0,0%,0,0%,0,100%,187,100%,1485,100%,44,100%,38,100%,31,100%,41,100%,102,100%,53,100%,254,100%,378,100%,674,100%,369
My schoolwork challenges me in a good way.,Strongly agree,17%,260,17%,260,0%,0,16%,136,18%,124,0%,0,0%,0,0%,0,17%,73,16%,187,0%,0,18%,137,16%,119,0%,0,0%,0,10%,12,24%,44,18%,62,38%,28,12%,110,17%,260,0%,0,0%,0,0%,0,0%,0,17%,260,17%,204,17%,52,18%,98,14%,138,18%,139,15%,89,17%,30,0%,0,0%,0,0%,0,9%,19,18%,240,31%,10,15%,4,40%,9,12%,6,30%,23,11%,7,17%,46,17%,56,19%,113,14%,45
,Agree,41%,691,41%,691,0%,0,44%,399,37%,292,0%,0,0%,0,0%,0,41%,223,41%,468,0%,0,46%,350,37%,324,0%,0,0%,0,57%,46,48%,95,42%,146,20%,31,39%,364,41%,691,0%,0,0%,0,0%,0,0%,0,41%,691,41%,524,39%,141,40%,267,42%,368,42%,363,42%,251,33%,75,0%,0,0%,0,0%,0,44%,70,40%,619,36%,18,39%,15,34%,11,33%,13,33%,38,38%,18,43%,101,39%,158,44%,291,36%,140
,Neither agree nor disagree,28%,464,28%,464,0%,0,26%,247,29%,217,0%,0,0%,0,0%,0,26%,143,28%,321,0%,0,21%,191,32%,264,0%,0,0%,0,22%,21,16%,37,29%,96,28%,36,31%,271,28%,464,0%,0,0%,0,0%,0,0%,0,28%,464,27%,354,30%,98,27%,180,28%,248,26%,219,27%,174,32%,70,0%,0,0%,0,0%,0,27%,58,27%,405,29%,13,27%,11,19%,9,43%,15,30%,29,34%,19,28%,78,27%,98,24%,169,34%,119
,Disagree,12%,209,12%,209,0%,0,11%,107,13%,102,0%,0,0%,0,0%,0,10%,58,13%,151,0%,0,11%,86,12%,116,0%,0,0%,0,11%,11,9%,20,8%,35,12%,18,15%,124,12%,209,0%,0,0%,0,0%,0,0%,0,12%,209,12%,151,11%,47,11%,83,13%,115,11%,92,13%,81,13%,36,0%,0,0%,0,0%,0,13%,27,12%,182,3%,3,16%,7,7%,2,11%,6,8%,12,15%,7,12%,26,13%,52,11%,77,13%,54
,Strongly disagree,3%,57,3%,57,0%,0,3%,31,3%,26,0%,0,0%,0,0%,0,5%,25,2%,32,0%,0,3%,22,3%,33,0%,0,0%,0,0%,0,4%,9,3%,13,2%,3,3%,31,3%,57,0%,0,0%,0,0%,0,0%,0,3%,57,3%,42,3%,11,4%,23,3%,30,2%,27,2%,16,6%,13,0%,0,0%,0,0%,0,7%,13,2%,44,0%,0,2%,1,0%,0,1%,1,0%,0,3%,2,1%,4,4%,15,3%,24,3%,14
,Total,100%,1681,100%,1681,0%,0,100%,920,100%,761,0%,0,0%,0,0%,0,100%,522,100%,1159,0%,0,100%,786,100%,856,0%,0,0%,0,100%,90,100%,205,100%,352,100%,116,100%,900,100%,1681,0%,0,0%,0,0%,0,0%,0,100%,1681,100%,1275,100%,349,100%,651,100%,899,100%,840,100%,611,100%,224,0%,0,0%,0,0%,0,100%,187,100%,1490,100%,44,100%,38,100%,31,100%,41,100%,102,100%,53,100%,255,100%,379,100%,674,100%,372
There is an adult at school who encourages me to pursue my goals and dreams.,Strongly agree,30%,505,30%,505,0%,0,28%,269,32%,236,0%,0,0%,0,0%,0,31%,156,29%,349,0%,0,34%,268,27%,228,0%,0,0%,0,10%,15,33%,73,29%,107,46%,43,29%,263,30%,505,0%,0,0%,0,0%,0,0%,0,30%,505,31%,394,28%,99,30%,196,27%,261,31%,260,26%,173,34%,70,0%,0,0%,0,0%,0,23%,50,31%,454,45%,16,30%,11,45%,10,30%,13,45%,37,22%,14,33%,86,29%,112,33%,215,23%,92
,Agree,44%,731,44%,731,0%,0,42%,390,46%,341,0%,0,0%,0,0%,0,40%,221,46%,510,0%,0,41%,324,46%,385,0%,0,0%,0,53%,44,49%,94,43%,145,37%,49,43%,391,44%,731,0%,0,0%,0,0%,0,0%,0,44%,731,43%,543,44%,158,45%,298,44%,381,43%,359,44%,267,46%,103,0%,0,0%,0,0%,0,56%,95,42%,634,38%,20,54%,19,40%,14,60%,23,46%,50,56%,27,43%,104,47%,169,45%,300,41%,157
,Neither agree nor disagree,18%,290,18%,290,0%,0,22%,174,13%,116,0%,0,0%,0,0%,0,20%,88,17%,202,0%,0,17%,123,19%,162,0%,0,0%,0,26%,19,12%,23,17%,65,11%,14,19%,163,18%,290,0%,0,0%,0,0%,0,0%,0,18%,290,18%,225,19%,57,17%,112,19%,158,19%,146,19%,112,12%,30,0%,0,0%,0,0%,0,10%,23,18%,266,16%,7,6%,4,12%,4,5%,2,5%,8,15%,8,16%,41,16%,66,13%,97,27%,86
,Disagree,6%,110,6%,110,0%,0,5%,61,7%,49,0%,0,0%,0,0%,0,6%,40,6%,70,0%,0,5%,48,7%,60,0%,0,0%,0,9%,8,4%,13,7%,21,3%,8,7%,60,6%,110,0%,0,0%,0,0%,0,0%,0,6%,110,6%,78,8%,29,5%,29,7%,73,5%,51,7%,43,7%,16,0%,0,0%,0,0%,0,8%,12,6%,98,0%,0,9%,4,4%,2,3%,2,2%,4,7%,4,7%,18,5%,24,7%,44,6%,24
,Strongly disagree,3%,42,3%,42,0%,0,3%,24,2%,18,0%,0,0%,0,0%,0,4%,16,2%,26,0%,0,3%,21,2%,20,0%,0,0%,0,3%,4,1%,2,3%,13,2%,2,2%,21,3%,42,0%,0,0%,0,0%,0,0%,0,3%,42,3%,33,1%,5,2%,15,3%,25,2%,22,3%,16,2%,4,0%,0,0%,0,0%,0,3%,6,2%,36,1%,1,0%,0,0%,0,2%,1,1%,2,0%,0,2%,5,3%,8,2%,16,4%,13
,Total,100%,1678,100%,1678,0%,0,100%,918,100%,760,0%,0,0%,0,0%,0,100%,521,100%,1157,0%,0,100%,784,100%,855,0%,0,0%,0,100%,90,100%,205,100%,351,100%,116,100%,898,100%,1678,0%,0,0%,0,0%,0,0%,0,100%,1678,100%,1273,100%,348,100%,650,100%,898,100%,838,100%,611,100%,223,0%,0,0%,0,0%,0,100%,186,100%,1488,100%,44,100%,38,100%,30,100%,41,100%,101,100%,53,100%,254,100%,379,100%,672,100%,372
I get to do what I do best every day.,Strongly agree,14%,272,0%,0,14%,272,0%,0,15%,6,7%,11,14%,83,17%,172,0%,0,0%,0,14%,272,12%,153,15%,112,11%,59,14%,197,11%,20,22%,23,14%,46,12%,8,12%,171,0%,0,15%,89,10%,18,10%,80,16%,85,0%,0,14%,166,12%,93,0%,0,0%,0,2%,1,12%,3,0%,0,17%,157,12%,91,8%,18,7%,1,7%,3,9%,84,16%,84,20%,72,14%,22,18%,192,9%,80,10%,38,13%,66,17%,112,12%,56
,Agree,39%,897,0%,0,39%,897,100%,1,41%,28,45%,65,37%,250,36%,553,0%,0,0%,0,39%,897,40%,527,38%,336,32%,229,42%,621,26%,65,25%,45,38%,138,34%,48,44%,587,0%,0,34%,201,43%,80,45%,353,49%,263,0%,0,40%,612,40%,269,0%,0,0%,0,36%,13,56%,10,44%,3,48%,508,37%,299,20%,61,37%,3,47%,22,42%,392,35%,228,48%,181,28%,55,41%,524,36%,359,39%,169,39%,255,38%,301,38%,172
,Neither agree nor disagree,28%,560,0%,0,28%,560,0%,0,35%,24,30%,47,28%,167,27%,322,0%,0,0%,0,28%,560,30%,324,25%,205,33%,168,27%,366,40%,60,36%,55,28%,90,32%,46,24%,303,0%,0,30%,183,27%,50,26%,209,24%,117,0%,0,28%,356,28%,179,0%,0,0%,0,55%,11,23%,9,27%,3,23%,230,32%,220,33%,82,33%,3,36%,20,28%,211,27%,176,23%,77,38%,64,26%,298,31%,254,32%,106,25%,150,28%,192,28%,112
,Disagree,16%,282,0%,0,16%,282,0%,0,8%,5,16%,20,16%,97,16%,160,0%,0,0%,0,16%,282,14%,158,17%,105,19%,94,14%,171,22%,32,14%,24,17%,46,14%,17,15%,162,0%,0,16%,91,18%,29,15%,117,8%,45,0%,0,15%,173,16%,98,0%,0,0%,0,8%,2,6%,2,29%,1,11%,105,16%,108,27%,60,23%,1,7%,4,18%,122,19%,100,6%,20,13%,20,13%,128,18%,149,16%,51,18%,76,14%,96,17%,59
,Strongly disagree,4%,73,0%,0,4%,73,0%,0,1%,1,2%,3,5%,30,4%,39,0%,0,0%,0,4%,73,3%,34,5%,34,5%,30,4%,38,1%,2,3%,4,2%,9,9%,9,4%,46,0%,0,5%,29,2%,7,3%,22,3%,15,0%,0,3%,44,5%,27,0%,0,0%,0,0%,0,3%,1,0%,0,1%,10,3%,29,13%,33,0%,0,2%,1,4%,31,4%,22,3%,7,6%,8,2%,28,6%,44,3%,11,5%,19,3%,25,5%,18
,Total,100%,2084,0%,0,100%,2084,100%,1,100%,64,100%,146,100%,627,100%,1246,0%,0,0%,0,100%,2084,100%,1196,100%,792,100%,580,100%,1393,100%,179,100%,151,100%,329,100%,128,100%,1269,0%,0,100%,593,100%,184,100%,781,100%,525,0%,0,100%,1351,100%,666,0%,0,0%,0,100%,27,100%,25,100%,7,100%,1010,100%,747,100%,254,100%,8,100%,50,100%,840,100%,610,100%,357,100%,169,100%,1170,100%,886,100%,375,100%,566,100%,726,100%,417
"In the last seven days, someone has told me I have done good work.",Strongly agree,29%,677,0%,0,29%,677,100%,1,39%,23,21%,34,29%,196,31%,423,0%,0,0%,0,29%,677,29%,403,28%,245,29%,194,28%,444,24%,44,34%,54,26%,92,22%,32,30%,442,0%,0,27%,170,26%,49,32%,250,39%,208,0%,0,33%,485,24%,176,0%,0,0%,0,26%,9,53%,12,4%,1,35%,384,26%,216,17%,50,18%,2,43%,20,31%,286,28%,199,32%,119,23%,42,31%,403,26%,268,24%,120,29%,182,30%,245,29%,130
,Agree,45%,946,0%,0,45%,946,0%,0,45%,32,54%,76,42%,269,42%,569,0%,0,0%,0,45%,946,45%,546,46%,361,44%,260,46%,643,46%,83,36%,56,45%,152,47%,61,47%,586,0%,0,45%,262,44%,86,46%,363,43%,235,0%,0,45%,611,47%,310,0%,0,0%,0,44%,13,33%,10,96%,6,46%,472,48%,342,36%,99,82%,6,40%,23,49%,395,46%,267,46%,173,34%,67,45%,522,44%,410,51%,186,44%,254,42%,317,45%,189
,Neither agree nor disagree,12%,206,0%,0,12%,206,0%,0,10%,5,12%,17,12%,74,12%,110,0%,0,0%,0,12%,206,11%,101,12%,88,11%,52,13%,143,12%,25,11%,16,14%,45,10%,13,11%,104,0%,0,12%,66,16%,27,10%,70,10%,42,0%,0,10%,110,14%,83,0%,0,0%,0,14%,2,11%,2,0%,0,13%,95,10%,75,14%,30,0%,0,9%,3,8%,61,10%,53,13%,41,21%,30,14%,130,10%,74,10%,34,11%,56,15%,79,10%,37
